"pitcher","pos","IP/App","FB%","MPH","DIFF","AGG","WHIFF%","appearances"
"Aaron Barrett","RP",0.651086956521739,0.602630434782609,93.8467690506362,8.51840995031081,0.17648039458347,0.287197802197802,92
"Aaron Brooks","RP",1.66,0.5954,91.3797333333333,8.77153725490196,0.100516049101781,0.1334,5
"Aaron Brooks","SP",4.68,0.604,91.3853756495265,8.32395301931678,0.158897919442924,0.1487,10
"Aaron Crow","RP",0.77258064516129,0.619766129032258,93.2578405565862,9.8274305946084,0.189694320846118,0.207459677419355,124
"Aaron Harang","RP",4.1,0.591,90.2538461538462,9.44273504273504,0.106060606060606,0.306,1
"Aaron Harang","SP",5.7735632183908,0.652011494252874,89.1763355292326,9.34627622459983,0.169538821565447,0.160068965517241,87
"Aaron Laffey","RP",1.66,0.8152,85.8178513157895,11.8003513157895,0.170659511185827,0.1712,5
"Aaron Laffey","SP",3.13333333333333,0.845333333333333,84.7944378208313,7.46985448749794,0.173205741626794,0.127666666666667,3
"Aaron Loup","RP",0.762814070351759,0.699778894472362,92.2795814252887,12.6529776958367,0.197606616102641,0.197507537688442,199
"Aaron Nola","SP",5.81538461538462,0.637846153846154,90.4905122562247,12.1622276494085,0.157629525959814,0.195615384615385,13
"Aaron Poreda","RP",0.642307692307692,0.708769230769231,95.1173147622865,11.2131807134649,0.177503860189567,0.245346153846154,26
"Aaron Sanchez","RP",0.992063492063492,0.891857142857143,96.4934245769741,14.760828205092,0.210304680823514,0.158746031746032,63
"Aaron Sanchez","SP",5.74545454545455,0.817909090909091,93.9846723400655,13.4723735983775,0.173222642134041,0.171454545454545,11
"Aaron Thompson","RP",0.608333333333333,0.415416666666667,89.7703432951065,8.34812500413817,0.185538515958455,0.223604166666667,48
"Abel De Los Santos","RP",0.95,0.5965,94.11375,13.2040277777778,0.0789473684210526,0.3095,2
"Adam Conley","RP",2.025,0.61725,90.2007286096257,6.56544014808721,0.130248917748918,0.15075,4
"Adam Conley","SP",5.22727272727273,0.675909090909091,91.0131251409853,6.89108508574969,0.164275728198867,0.206818181818182,11
"Adam Dunn","RP",1,0,NA,0,0.0909090909090909,0,1
"Adam LaRoche","RP",1,0.25,84.6666666666667,12.5,0.333333333333333,0.25,1
"Adam Liberatore","RP",0.605128205128205,0.764102564102564,93.6744620479236,10.7269947276621,0.147924859876463,0.232631578947368,39
"Adam Loewen","RP",0.735,0.5861,91.4957300436921,8.70521236692444,0.149916987255934,0.30665,20
"Adam Morgan","SP",5.45333333333333,0.578333333333333,88.8135699391722,9.68775931008805,0.180426363608978,0.194666666666667,15
"Adam Ottavino","RP",1.02573529411765,0.504698529411765,93.0875501552236,10.4976202759856,0.202024036349343,0.253459259259259,136
"Adam Rosales","RP",1,0.229,89.6833333333333,14.8742063492064,0.31712962962963,0.0385,2
"Adam Wainwright","RP",1.46666666666667,0.699166666666667,90.899782994783,15.1506163281163,0.180815317580023,0.237666666666667,6
"Adam Wainwright","SP",6.87051282051282,0.689602564102564,89.1945345331131,13.6501522282445,0.17632090559869,0.198358974358974,78
"Adam Warren","RP",1.29133858267717,0.428070866141732,93.7157262356565,8.92828943106649,0.142883285437398,0.242492063492063,127
"Adam Warren","SP",5.21052631578947,0.479526315789474,92.3171525149617,8.10218043917405,0.147522068551186,0.202894736842105,19
"Adam Wilk","RP",2,0.514,88.5111111111111,6.91699346405228,0.0571428571428571,0.267,1
"Addison Reed","RP",0.945077720207254,0.681471502590674,92.5881648615832,7.64189313732592,0.208277626704835,0.213735751295337,193
"Adrian Houser","RP",1,0.827,94.4802884615385,11.1302884615385,0.110197368421053,0.125,2
"A.J. Achter","RP",1.26111111111111,0.607388888888889,90.1036712216573,9.08386676685281,0.177563188055475,0.234388888888889,18
"A.J. Burnett","SP",6.0978021978022,0.596813186813187,91.7578984498656,9.00011699318206,0.179784314833033,0.219516483516484,91
"A.J. Cole","RP",3.55,0.6575,89.8457602339181,9.37927875243665,0.130977130977131,0.1685,2
"A.J. Cole","SP",2,0.655,91.75,13.25,0.145454545454545,0.12,1
"A.J. Griffin","RP",6.9,0.635,88.7212121212121,14.2448963317384,0.288461538461538,0.205,1
"A.J. Griffin","SP",6.08387096774194,0.585354838709677,88.8687226726,12.8301261406893,0.169211709939651,0.195612903225806,31
